TaskName,ParticipantPublicID,EventIndex,Response,Question,prePost,cond
iOS-Savage questions,FM_9_a,16,46,connection,1,silent
iOS-Savage questions,FM_9_a,13,55,like,1,silent
iOS-Savage questions,FM_9_a,5,35,similarity,1,silent
iOS-Savage questions,FM_9_a,10,38,trust,1,silent
iOS-Savage questions,FM_9_b,12,2,closeness,1,silent
iOS-Savage questions,FM_9_b,8,30,connection,1,silent
iOS-Savage questions,FM_9_b,5,50,like,1,silent
iOS-Savage questions,FM_9_b,15,86,similarity,1,silent
iOS-Savage questions,FM_9_b,11,63,trust,1,silent
iOS-Savage questions,MM_10_a,16,2,closeness,1,mus
iOS-Savage questions,MM_10_a,12,53,connection,1,mus
iOS-Savage questions,MM_10_a,6,51,like,1,mus
iOS-Savage questions,MM_10_a,9,56,similarity,1,mus
iOS-Savage questions,MM_10_a,15,51,trust,1,mus
iOS-Savage questions,MM_10_b,6,6,closeness,1,mus
iOS-Savage questions,MM_10_b,9,80,connection,1,mus
iOS-Savage questions,MM_10_b,12,85,like,1,mus
iOS-Savage questions,MM_10_b,5,72,similarity,1,mus
iOS-Savage questions,MM_10_b,15,96,trust,1,mus
iOS-Savage questions,MM_11_a,15,2,closeness,1,mus
iOS-Savage questions,MM_11_a,5,52,connection,1,mus
iOS-Savage questions,MM_11_a,11,62,like,1,mus
iOS-Savage questions,MM_11_a,8,52,similarity,1,mus
iOS-Savage questions,MM_11_a,14,37,trust,1,mus
iOS-Savage questions,MM_11_b,3,1,closeness,1,mus
iOS-Savage questions,MM_11_b,6,9,connection,1,mus
iOS-Savage questions,MM_11_b,16,35,like,1,mus
iOS-Savage questions,MM_11_b,12,0,similarity,1,mus
iOS-Savage questions,MM_11_b,9,32,trust,1,mus
iOS-Savage questions,MM_12_a,10,2,closeness,1,silent
iOS-Savage questions,MM_12_a,16,29,connection,1,silent
iOS-Savage questions,MM_12_a,13,67,like,1,silent
iOS-Savage questions,MM_12_a,9,44,similarity,1,silent
iOS-Savage questions,MM_12_a,5,59,trust,1,silent
iOS-Savage questions,MM_12_b,12,1,closeness,1,silent
iOS-Savage questions,MM_12_b,11,21,connection,1,silent
iOS-Savage questions,MM_12_b,15,31,like,1,silent
iOS-Savage questions,MM_12_b,8,13,similarity,1,silent
iOS-Savage questions,MM_12_b,5,24,trust,1,silent
iOS-Savage questions,MM_13_a,15,3,closeness,1,silent
iOS-Savage questions,MM_13_a,5,76,connection,1,silent
iOS-Savage questions,MM_13_a,8,39,like,1,silent
iOS-Savage questions,MM_13_a,14,25,similarity,1,silent
iOS-Savage questions,MM_13_a,11,46,trust,1,silent
iOS-Savage questions,MM_13_b,15,3,closeness,1,silent
iOS-Savage questions,MM_13_b,8,69,connection,1,silent
iOS-Savage questions,MM_13_b,11,75,like,1,silent
iOS-Savage questions,MM_13_b,5,57,similarity,1,silent
iOS-Savage questions,MM_13_b,14,57,trust,1,silent
iOS-Savage questions,MM_14_a,7,2,closeness,1,mus
iOS-Savage questions,MM_14_a,6,55,connection,1,mus
iOS-Savage questions,MM_14_a,16,52,like,1,mus
iOS-Savage questions,MM_14_a,13,52,similarity,1,mus
iOS-Savage questions,MM_14_a,10,55,trust,1,mus
iOS-Savage questions,MM_14_b,6,1,closeness,1,mus
iOS-Savage questions,MM_14_b,9,100,connection,1,mus
iOS-Savage questions,MM_14_b,5,100,like,1,mus
iOS-Savage questions,MM_14_b,13,50,similarity,1,mus
iOS-Savage questions,MM_14_b,16,100,trust,1,mus
iOS-Savage questions,MM_15_a,12,4,closeness,1,silent
iOS-Savage questions,MM_15_a,8,48,connection,1,silent
iOS-Savage questions,MM_15_a,5,44,like,1,silent
iOS-Savage questions,MM_15_a,11,24,similarity,1,silent
iOS-Savage questions,MM_15_a,15,63,trust,1,silent
iOS-Savage questions,MM_15_b,16,3,closeness,1,silent
iOS-Savage questions,MM_15_b,9,0,connection,1,silent
iOS-Savage questions,MM_15_b,6,100,like,1,silent
iOS-Savage questions,MM_15_b,12,0,similarity,1,silent
iOS-Savage questions,MM_15_b,15,17,trust,1,silent
iOS-Savage questions,MM_16_a,14,3,closeness,1,isot
iOS-Savage questions,MM_16_a,10,49,connection,1,isot
iOS-Savage questions,MM_16_a,13,54,like,1,isot
iOS-Savage questions,MM_16_a,5,55,similarity,1,isot
iOS-Savage questions,MM_16_a,17,51,trust,1,isot
iOS-Savage questions,MM_16_b,3,1,closeness,1,isot
iOS-Savage questions,MM_16_b,13,41,connection,1,isot
iOS-Savage questions,MM_16_b,7,50,like,1,isot
iOS-Savage questions,MM_16_b,10,23,similarity,1,isot
iOS-Savage questions,MM_16_b,16,59,trust,1,isot
iOS-Savage questions,MM_17_a,15,2,closeness,1,isot
